# 近一个月创历史新高 A股筛选结果
# 生成时间: 2026-06-05 07:09:43
# 参数: recent_days=22  use=high  source=yahoo  history=全历史
# 检查 5206 只，命中 568 只
代码        名称                  历史最高        近月最高          创新高日
688146    中船特气               87.77      243.03    2026-06-05
301319    唯特偶                55.48      137.57    2026-06-04
688143    长盈通                79.50      195.53    2026-06-03
301666    大普微               381.60      918.88    2026-05-25
002484    江海股份               41.51       96.35    2026-06-04
688808    联讯仪器             1060.00     2323.03    2026-06-05
003036    泰坦股份               38.21       82.35    2026-06-05
300835    龙磁科技              106.51      218.00    2026-06-05
688820    盛合晶微              115.40      235.32    2026-05-26
002552    宝鼎科技               31.04       62.98    2026-06-02
001259    利仁科技               45.82       89.86    2026-05-22
603115    海星股份               62.58      122.00    2026-05-25
688260    昀冢科技               51.30       98.77    2026-06-04
300975    商络电子               23.73       45.25    2026-06-05
688300    联瑞新材              103.68      192.00    2026-06-01
603773    沃格光电               72.75      134.64    2026-06-05
002859    洁美科技               51.69       95.36    2026-06-04
688813    泰金新能              110.88      200.00    2026-05-29
301188    力诺药包               31.89       57.50    2026-06-05
600183    XD生益科              82.31      147.08    2026-06-01
600367    红星发展               28.99       51.68    2026-06-05
688603    天承科技              106.45      189.66    2026-05-25
301362    民爆光电              115.39      205.00    2026-06-05
300179    四方达                30.60       54.21    2026-06-05
301377    鼎泰高科              244.57      425.80    2026-06-05
600584    长电科技               54.63       94.90    2026-05-27
688668    鼎通科技              247.65      428.00    2026-06-05
301369    联动科技              122.47      211.35    2026-05-26
301387    光大同创               70.69      121.49    2026-05-21
000636    风华高科               38.27       64.59    2026-06-04
300201    海伦哲                12.62       21.24    2026-06-02
300736    百邦科技               28.90       48.48    2026-05-14
300632    光莆股份               25.39       42.24    2026-05-19
603045    福达合金               51.35       85.26    2026-06-05
688610    埃科光电              128.90      213.91    2026-06-05
603931    格林达                40.73       67.20    2026-06-01
300408    三环集团               86.84      142.90    2026-06-05
600396    华电辽能               14.04       23.04    2026-06-05
603303    得邦照明               18.28       29.80    2026-06-01
300863    卡倍亿                45.25       73.19    2026-06-04
300903    科翔股份               52.79       84.89    2026-05-26
603986    兆易创新              343.79      552.82    2026-05-27
603256    宏和科技              131.01      210.49    2026-06-05
688072    拓荆科技              489.71      778.58    2026-05-26
603459    红板科技               72.62      115.15    2026-05-25
688017    绿的谐波              248.42      393.00    2026-06-05
603186    华正新材               88.04      139.22    2026-05-26
603203    快克智能               49.28       77.90    2026-05-28
688172    燕东微                50.58       79.57    2026-05-29
300672    国科微               240.10      376.80    2026-05-27
300626    华瑞股份               29.85       46.80    2026-05-26
603890    春秋电子               20.80       32.58    2026-06-03
002938    鹏鼎控股               78.66      122.97    2026-05-26
600869    远东股份               18.66       29.15    2026-06-05
002281    光迅科技              158.30      246.80    2026-05-20
301021    英诺激光               66.60      103.34    2026-06-01
603316    诚邦股份               18.04       27.98    2026-05-22
688347    华虹公司              166.50      258.00    2026-05-28
002975    博杰股份              102.07      157.97    2026-06-03
688545    兴福电子               63.64       98.00    2026-05-18
002980    华盛昌                87.20      133.55    2026-05-26
603629    利通电子              158.85      240.88    2026-05-29
301511    德福科技               90.16      135.70    2026-05-29
688120    华海清科              207.99      312.99    2026-05-21
688630    芯碁微装              275.85      413.86    2026-06-04
603823    XD百合花              20.49       30.65    2026-06-03
688781    视涯科技               43.48       65.00    2026-05-28
688655    迅捷兴                47.00       70.20    2026-05-15
002885    京泉华                37.33       55.76    2026-05-25
301200    大族数控              207.36      309.49    2026-05-27
688535    华海诚科               99.25      148.00    2026-05-18
603031    安孚科技               43.34       64.51    2026-06-04
300959    线上线下              159.00      234.87    2026-06-02
300819    聚杰微纤               62.31       92.00    2026-05-13
600769    祥龙电业               17.68       26.10    2026-05-19
300964    本川智能               78.18      115.32    2026-06-05
301123    奕东电子               82.00      120.15    2026-06-05
688308    欧科亿               116.99      170.88    2026-05-29
688625    呈和科技               79.37      115.58    2026-05-28
300567    精测电子              159.35      231.78    2026-05-25
688663    新风光                70.93      102.66    2026-05-27
688507    索辰科技              137.76      199.32    2026-05-26
300814    中富电路              121.66      175.98    2026-05-29
601208    东材科技               41.97       60.50    2026-06-04
601126    四方股份               61.08       88.04    2026-05-20
301093    华兰股份               92.01      132.55    2026-05-25
688328    深科达                58.82       84.60    2026-05-29
688362    甬矽电子               54.36       78.16    2026-05-26
300308    中际旭创              918.90     1320.00    2026-06-03
688090    瑞松科技               78.00      111.66    2026-06-05
605376    博迁新材              139.00      198.67    2026-06-04
300283    温州宏丰               14.14       20.20    2026-05-19
301013    利和兴                44.28       62.88    2026-06-04
002645    华宏科技               23.25       33.00    2026-06-05
688693    锴威特               105.00      148.50    2026-05-14
600683    京投发展               15.45       21.83    2026-05-13
688627    精智达               319.71      451.00    2026-05-21
002008    大族激光              110.81      156.28    2026-05-14
688008    澜起科技              205.57      288.79    2026-05-27
002957    科瑞技术               51.55       72.40    2026-06-03
300811    铂科新材               72.69      101.99    2026-06-05
603618    杭电股份               33.13       46.44    2026-06-05
000811    冰轮环境               27.45       38.46    2026-05-21
